shock_id,act_label,tax_type,incentive_category,direction,rate_from,rate_to,delta_pp,magnitude_note,announced_year,effective_year,effective_quarter,motivation,exogenous
MY-INCENT-01,DEB equity-restructuring 5pp CIT exemption,CIT,Preferential rate,Cut,40,35,-5,5pp exemption off the 40% company income tax for NEB-conforming equity restructuring; offered annually from YA1980 (NEP industrial/equity policy),1979,1980,NA,Long-run,TRUE
MY-INCENT-02,Promotion of Investments Act 1986 (Pioneer Status / ITA framework),CIT,Tax holiday,Cut,NA,NA,NA,"Enabling reform: Pioneer Status (income-tax exemption ~100% of statutory income, 5 yr) and Investment Tax Allowance framework; replaced the Investment Incentives Act 1968",1986,1986,NA,Long-run,TRUE
MY-INCENT-03,Labuan IOFC / LOBATA 1990 offshore regime,CIT,Preferential rate,Cut,NA,3,NA,"Labuan Offshore Business Activity Tax Act 1990: offshore-trading companies taxed at 3% of net audited profit OR a fixed RM20,000; IOFC launched 1 Oct 1990",1990,1990,NA,Long-run,TRUE
MY-INCENT-04,Reinvestment Allowance increase (Budget 1994),CIT,Investment allowance,Cut,NA,NA,NA,Reinvestment Allowance raised from 40% to 50% of qualifying capital expenditure to encourage modernization/automation,1993,1994,NA,Long-run,TRUE
MY-INCENT-05,MSC / Multimedia Super Corridor status incentives,CIT,Tax holiday,Cut,NA,NA,NA,MSC-status companies: Pioneer Status with 100% income-tax exemption on statutory income for 5 yr (extendable to 10) under the Bill of Guarantees,1996,1996,NA,Long-run,TRUE
MY-INCENT-06,Biomass-based generation income-tax exemption (Budget 2001),CIT,Sectoral / R&D,Cut,NA,NA,NA,Sectoral income-tax exemption for biomass/renewable-energy ('fifth fuel') generating companies under the Eighth Malaysia Plan,2000,2001,NA,Long-run,TRUE
MY-INCENT-07,Iskandar Malaysia (WPI/IDR) zone incentives,CIT,Zone incentive,Cut,NA,NA,NA,Iskandar Development Region: tax exemptions for IDR-status companies in approved nodes plus strategic investment fund; flagship southern economic corridor announced Budget 2007,2007,2007,NA,Long-run,TRUE
MY-INCENT-08,Green Building Index (GBI) income-tax exemption (Budget 2010),CIT,Sectoral / R&D,Cut,NA,NA,NA,Income-tax exemption on additional capital cost of obtaining GBI certification + stamp-duty exemption for GBI-certified building buyers; green-technology financing scheme,2009,2010,NA,Long-run,TRUE
MY-INCENT-09,KLIFD / Tun Razak Exchange financial-district incentives (Budget 2012),CIT,Tax holiday,Cut,NA,NA,NA,KLIFD-status companies: 100% income-tax exemption for 10 yr + stamp-duty exemption on loan/service agreements; 70% exemption for 5 yr for KLIFD property developers; ITA/ACA for Marquee Status,2011,2012,NA,Long-run,TRUE
MY-INCENT-10,Angel-investor & venture-capital tax incentives,PIT,Other,Cut,NA,NA,NA,"Angel-investor incentive: deduction up to RM500,000 of qualifying investment in tech start-ups against aggregate income (Budget 2013); venture-capital company tax incentives folded in (Budget 2003/2010)",2013,2013,NA,Long-run,TRUE
MY-INCENT-11,Principal Hub 10% concessionary rate (Budget 2019),CIT,Preferential rate,Cut,NA,10,NA,Enhancement of the existing Principal Hub incentive: concessionary income-tax rate of 10% on overall statutory income from Principal Hub activities for 5 yr,2018,2019,NA,Long-run,TRUE
MY-INCENT-12,Companies-relocating-to-Malaysia incentive (PENJANA / Budget 2021),CIT,Preferential rate,Cut,NA,0,NA,"Relocation incentive introduced under PENJANA (Jun 2020) / Budget 2021: 0% tax for new manufacturing companies (10-15 yr) and 10% for existing companies (5 yr), or 100% Investment Tax Allowance",2020,2020,NA,Countercyclical,FALSE
MY-INCENT-13,Pharmaceutical/vaccine 0-10% preferential rate (Budget 2021),CIT,Preferential rate,Cut,NA,10,NA,Preferential income-tax rate of 0-10% for the first 10 yr and 10% for the subsequent 10 yr for pharmaceutical (incl. COVID-19 vaccine) manufacturers,2020,2021,NA,Long-run,TRUE
MY-INCENT-14,Relocation incentive extension (Budget 2023),CIT,Preferential rate,Cut,NA,15,NA,Extension of the relocation incentive and the 15% concessionary rate for non-resident C-Suite until 2024; E&E and aerospace income-tax incentives / ITA extended to 31 Dec 2025,2022,2023,NA,Long-run,TRUE
MY-INCENT-15,Electric Vehicle (EV) tax incentives (Budget 2023),CONSUMPTION,Sectoral / R&D,Cut,NA,NA,NA,"Full import-duty exemption on EV components, full excise-duty + sales-tax exemption on locally-assembled CKD EVs (extended to 31 Dec 2027); road-tax exemption for EVs",2022,2023,NA,Long-run,TRUE
